Class ID,Preferred Label,Synonyms,Definitions,API parent label,API parent combined definitions,API parent description,http://purl.org/dc/elements/1.1/description,http://www.w3.org/2000/01/rdf-schema#comment
http://purl.obolibrary.org/obo/FOODON_03305536,honey blend table syrup,,"SIREN DB annotation:
* has quality 'liquid, high viscosity, with no visible particles' (http://purl.obolibrary.org/obo/FOODON_03430139)
* has quality 'fully heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440014)
* derives from 'sugar syrup or syrup solids' (http://purl.obolibrary.org/obo/FOODON_03420271)
* has substance added  'honey added' (http://purl.obolibrary.org/obo/FOODON_03460149)
        ",multi-component honey product,,,,"SIREN DB annotation:
* has quality 'liquid, high viscosity, with no visible particles' (http://purl.obolibrary.org/obo/FOODON_03430139)
* has quality 'fully heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440014)
* derives from 'sugar syrup or syrup solids' (http://purl.obolibrary.org/obo/FOODON_03420271)
* has substance added  'honey added' (http://purl.obolibrary.org/obo/FOODON_03460149)
        "
http://purl.obolibrary.org/obo/UBERON_0007237,1st arch mandibular component,ventral visceral arch 1|ventral mandibular arch|ventral pharyngeal arch 1,,embryonic structure,"[""Anatomical structure that is part of the embryo and is comprised of portions of tissue or cells.[AAO]"",""Anatomical structure that is part of the embryo and is comprised of portions of tissue or cells.[TAO]"",""Anatomical structure that is part of the embryo and is comprised of portions of tissue or cells.[VSAO]""]",Anatomical structure that is part of an embryo.,,
http://purl.obolibrary.org/obo/UBERON_0001277,intestinal epithelium,intestine epithelium|villous epithelium|intestine epithelial tissue|epithelium of intestine|epithelium of bowel|epithelial tissue of intestine|epithelial tissue of bowel|bowel epithelium|bowel epithelial tissue,Epithelial layer that lines the intestine.,gastrointestinal system epithelium,An epithelium that is part of a digestive system [Automatically generated definition]. ; ,An epithelium that is part of a digestive system [Automatically generated definition].,,
http://purl.obolibrary.org/obo/ENVO_00002237,chernozem,boroll|black earth,Chernozems are soils with a thick black surface layer that is rich in organic matter.,soil,"An environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, interstitial gases, liquids, and a broad range of resident micro- and macroorganisms. ; ","An environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, interstitial gases, liquids, and a broad range of resident micro- and macroorganisms.",,
http://purl.obolibrary.org/obo/CHEBI_33345,titanium group element atom,,,d-block element atom,,,,
http://purl.obolibrary.org/obo/ENVO_01001015,fogbow,fog bow,"A rainbow which forms through the interaction of sunlight with the water droplets which constitute fog or clouds; light is diffracted by these droplets such that the photometeor appears almost white with faint reds on the sky-facing side and faint blues on the planet-facing side of the bow.|Often, fogbows are treated as separate from rainbows; however, as the formation processes are much the same, we currently classify these as a subclass of rainbow pending input from domain experts.",rainbow,"A rainbow is a photometeor which consists of a spectral separation of light, formed as a result of the reflection, refraction, and dispersion of light in water droplets suspended in an astronomical body's atmosphere. ; ","A rainbow is a photometeor which consists of a spectral separation of light, formed as a result of the reflection, refraction, and dispersion of light in water droplets suspended in an astronomical body's atmosphere.",,"Often, fogbows are treated as separate from rainbows; however, as the formation processes are much the same, we currently classify these as a subclass of rainbow pending input from domain experts."
http://purl.obolibrary.org/obo/ENVO_02500011,afforestation,,"Establishment of a new forest by seeding or planting of nonforested land.|Prior to afforestation, the land cover of a region must not include forests.",revegetation,,,,"Prior to afforestation, the land cover of a region must not include forests."
http://purl.obolibrary.org/obo/ENVO_01000459,asphalt concrete,road pavement|asphaltic concrete,Asphaltic concrete is a concrete which uses refined asphalt as a cement.,concrete,Concrete is a composite material composed of an aggregate bonded together with a fluid cement which hardens over time. ; ,Concrete is a composite material composed of an aggregate bonded together with a fluid cement which hardens over time.,,
http://purl.obolibrary.org/obo/ENVO_01000972,take-out restaurant,take-away|take out restaurant,A restaurant which provides prepared meals or other food products that the purchaser must eat off its premises.,restaurant,,A building within which food and drink are prepared and served to customers in exchange for money or other goods and/or services.,,
http://purl.obolibrary.org/obo/ENVO_00003779,obsolete tempeh,,,,,,,
